input filename,count,PD number,start idx,end idx,Grouping_Envelope_Analysis,Energy_A5,Energy_D5,Energy_D4,Energy_D3,Energy_D2,Energy_D1,PC1,PC2,PC3,Simple PCA Feature Cluster ID
Ch1.csv,14,2.0,979646,985946,14,0.998162440987284,0.0006016643458073,0.0001593474053692,0.0001687003885174,0.0003133332662381,0.000594513606784,0.001234688950734,0.0001109578212297,2.087559820948548e-05,14
Ch1.csv,15,2.0,1084392,1090692,15,0.9971477658147588,0.0009114157599551,0.0002478088327789,0.0002456660984037,0.0004783381668047,0.0009690053272984,0.0001121678353537,0.0003248698166191,1.3504933002006505e-05,15
Ch1.csv,16,6.0,1201101,1207401,16,0.9945153909888852,0.0003194542432149,0.0004101676037677,0.0005964692238827,0.0013107800274038,0.0028477379128454,-0.0031025727225938,-0.0008126103766653,-2.4082370123856837e-05,16
Ch1.csv,17,2.0,1277992,1284292,17,0.9972372218019774,0.001568963503171,0.0002660186313547,0.0001504519289814,0.0002623813092091,0.0005149628253062,0.0003524480104704,0.0011276244574474,5.389750383333336e-06,17
Ch1.csv,18,2.0,1406317,1412617,18,0.9955660029391216,0.0022932206136141,0.0004348466200818,0.0002682654008272,0.0004747236766474,0.0009629407497077,-0.00144090739581,0.0017513333395253,2.101827683884117e-05,18
Ch1.csv,19,4.0,1416989,1423289,19,0.9991549579617658,0.0003634042531228,8.231708884391492e-05,5.906440583801422e-05,0.0001141939070221,0.0002260623834074,0.0023369819394747,-3.0006768201418232e-05,1.483786058054104e-05,19
Ch1.csv,20,4.0,1474789,1481089,20,0.9989458115025022,0.0003468399908541,9.377619561293331e-05,9.358103749030666e-05,0.0001770569299534,0.0003429343435869,0.0020912539367191,-8.029135026038636e-05,1.6246796980562417e-05,20
Ch1.csv,21,4.0,1499828,1506128,21,0.9991818639059654,0.000229754930407,6.662777352646749e-05,9.05872670995729e-05,0.0001406469310209,0.0002905191919804,0.0023419574354074,-0.0001857697337122,1.4409450758534614e-05,21
Ch1.csv,22,4.0,1537077,1543377,22,0.999666192755985,5.417021232846688e-05,2.4388796930722698e-05,3.598960207747152e-05,7.466242316414264e-05,0.0001445962095142,0.0028669115179701,-0.000326968000849,8.40249531294801e-06,22
Ch1.csv,23,1.0,1660744,1667044,23,0.9978713696975424,6.295827222483843e-05,0.0001601762855707,0.0002912364499597,0.0005459705088837,0.0010682887858185,0.0007888843709765,-0.0005741194788716,3.755499550042729e-05,23
Ch1.csv,24,6.0,1738515,1744815,24,0.9922843303942004,0.000828495567743,0.0004629827278936,0.0008955852329775,0.0018592548306592,0.003669351246526,-0.005592994250545,-0.0005499877703782,-9.904588179751594e-05,24
Ch1.csv,25,3.0,1760149,1766449,25,0.9978697635358929,0.0003903699808453,0.0001776435360133,0.0002513894061826,0.0004628301807484,0.0008480033603173,0.0008594035746924,-0.0001756656581358,4.4672001920875726e-05,25
Ch1.csv,26,4.0,1802548,1808848,26,0.9974307902511004,0.0017276257800032,0.0002445644774908,0.0001038046360265,0.0001620555162068,0.0003311593391724,0.000605101237217,0.0013393567270888,-1.553781407312438e-05,26
Ch1.csv,27,2.0,1847808,1854108,27,0.9965744778436916,0.001133605620827,0.0002660746127649,0.0003195832316148,0.0005710719111298,0.0011351867799717,-0.0005100652494041,0.0005010752919792,-6.84386169286233e-06,27
Ch1.csv,28,6.0,1899665,1905965,28,0.9940487371834864,0.0011159933965021,0.0004205715773071,0.0006171924268213,0.0013528273399594,0.0024446780759234,-0.0034503144852603,0.0001007947747302,-1.338362781777569e-05,28
Ch1.csv,29,5.0,1910161,1916461,29,0.9964975560914368,0.0001307228080817,0.0002486408612162,0.0004578225479303,0.0008554715435763,0.0018097861477582,-0.0008079021568647,-0.0007131071459553,1.4599664623859976e-05,29
Ch1.csv,30,2.0,1948604,1954904,30,0.9962352968910702,0.0028031887397122,0.0002913253548545,0.0001171481039453,0.0001806513699543,0.0003723895404634,-0.0005884045171615,0.002414106035958,-0.0001183578257267,30
Ch1.csv,31,1.0,1968264,1974564,31,0.9971134313613738,0.0002808006440027,0.0001901165369977,0.0003534396435574,0.0007022059866422,0.0013600058274258,-5.778695207803164e-05,-0.0004410050259735,-8.2040350804502e-07,31
Ch2.csv,1,1.0,48182,54482,1,0.9979818277347609,6.858440201008376e-05,0.0001253872433131,0.0002466623062231,0.0005223558294845,0.001055182484208,0.0009021232860819,-0.0005727540099648,-1.1344753532538387e-05,7
Ch2.csv,2,3.0,67957,74257,2,0.998456519525508,4.8035398770414655e-05,0.0001108101544311,0.0002108147794991,0.0004009016563737,0.0007729184854175,0.0014636793728393,-0.0005088070546023,2.4795363295831985e-05,1
Ch2.csv,3,4.0,85711,92011,3,0.9986873568164916,0.0008888673510288,0.000133540153831,5.0077602683535695e-05,8.023036696601965e-05,0.0001599277089989,0.0018992626283469,0.000527933404476,5.235901953476452e-06,3
Ch2.csv,4,3.0,132962,139262,4,0.995747157691039,0.0009905257337896,0.0003348112895137,0.000460594506054,0.0008643884462844,0.001602522333319,-0.001486563872633,0.0002249227929539,3.564561211338857e-05,27
Ch2.csv,5,1.0,202588,208888,5,0.9968493672162116,0.0001055101493727,0.0002115497453535,0.00040211392897,0.0008205999468473,0.0016108590132446,-0.0004012576067089,-0.0006897752365281,8.007540307025662e-06,29
Ch2.csv,6,5.0,325588,331888,6,0.9987311805446364,0.0003098576291932,7.391594050477699e-05,0.0001360950886177,0.000249243313576,0.0004997074834718,0.0018262711941032,-0.0001692151767158,-1.6778411949969207e-05,25
Ch2.csv,7,2.0,390761,397061,7,0.9988207727223026,0.0003240952325246,9.36272645271817e-05,0.0001099198150659,0.0002182148067655,0.000433370158814,0.0019376880185559,-0.0001310587055086,5.688556012850565e-06,22
Ch2.csv,8,1.0,561723,568023,8,0.9988694372953012,6.763318544098194e-05,9.268365171374206e-05,0.0001339712789187,0.0002793414773107,0.0005569331113148,0.0019444426400736,-0.0004266058285674,2.181467104847568e-05,12
Ch2.csv,9,6.0,613787,620087,9,0.9953866730760864,0.0004336106165342,0.0003022922414514,0.0005786648334719,0.0011840153873298,0.002114743845126,-0.0020218066018865,-0.0005029395276578,1.6943053212953307e-05,9
Ch2.csv,10,4.0,710290,716590,10,0.9987511664379224,0.0005244080300785,0.0001200084403586,9.657384230399633e-05,0.0001690979312284,0.0003387453181078,0.0019019854996109,0.0001050004269808,1.9726225103905423e-05,10
Ch2.csv,11,6.0,717461,723761,11,0.994557772727515,0.0002482574182709,0.0003735874732516,0.0006646532437922,0.0013931258435035,0.0027626032936666,-0.0030447553322636,-0.0008694407114064,-8.245522696570529e-07,11
Ch2.csv,12,1.0,743707,750007,12,0.9980044069449177,7.860446037740393e-05,0.0001288492730799,0.0002549660551569,0.0005032266421331,0.0010299466243348,0.0009337711137227,-0.000552923031571,-1.6021052444969983e-06,6
Ch2.csv,13,4.0,848140,854440,13,0.9994562965951046,0.0001097426135797,3.912557127919638e-05,5.78865632525782e-05,0.0001148973779796,0.0002220512788041,0.002634026484265,-0.0002920889417852,6.987814395231773e-06,21
Ch2.csv,14,3.0,942365,948665,0,0.9928745336896196,0.0002688618838987,0.000460367905649,0.0008866306528518,0.001947668960224,0.0035619369077569,-0.0049866289663975,-0.0010873412212294,2.714364270628433e-06,28
Ch2.csv,15,2.0,979666,985966,14,0.9987130349266768,0.0005709715754619,9.166551246323656e-05,9.943928741140496e-05,0.0001767938145705,0.0003480948834161,0.0018595610693397,0.0001426482549808,-1.52677921279043e-05,0
Ch2.csv,16,2.0,1084412,1090712,15,0.9978545230227552,0.0009510406725089,0.0001796395047478,0.0001653919824164,0.0002867279022918,0.0005626769152795,0.0009428394738365,0.0004760238419475,-1.389369523541184e-06,14
Ch2.csv,17,6.0,1201115,1207415,16,0.9957431263382328,0.0001752310992645,0.000284751289335,0.0005544914781082,0.0010702478469743,0.0021721519480849,-0.0016764644372226,-0.0007748879364252,4.415984393657535e-06,16
Ch2.csv,18,2.0,1278012,1284312,17,0.997567378754979,0.001605507745566,0.0002465368151363,0.0001054937022451,0.0001617020264794,0.0003133809555934,0.0007454552121763,0.0012226466450218,7.721447510738999e-06,26
Ch2.csv,19,2.0,1406337,1412637,18,0.9961518919080424,0.0024490522143826,0.0003972715587757,0.0001821434306742,0.0002921100486513,0.0005275308394734,-0.0007207718048064,0.0020326166931372,2.6311679790169684e-05,18
Ch2.csv,20,4.0,1416999,1423299,19,0.9990404769654652,0.0003804306141471,7.810187052697535e-05,7.51484894209745e-05,0.0001461225170119,0.0002797195434276,0.0022051899257702,-3.060943957416962e-05,3.106905791722125e-06,19
Ch2.csv,21,4.0,1474800,1481100,20,0.998819405711698,0.0003456501555234,9.643061966837373e-05,0.0001056413602277,0.0002081854556563,0.0004246866972263,0.0019398812438603,-0.0001059052329399,5.496845501218317e-06,20
Ch2.csv,22,4.0,1499839,1506139,21,0.9990700322062144,0.0002061350912653,6.792137599390045e-05,9.44587839145169e-05,0.0001949317991579,0.000366520743454,0.0022043888912443,-0.0002346331404646,5.485917802916518e-06,8
Ch2.csv,23,4.0,1537087,1543387,22,0.9995343926895726,6.888792694301901e-05,3.133892873011165e-05,5.248053467928992e-05,9.748944439512076e-05,0.00021541047568,0.0027143827636458,-0.0003317716785567,3.362506791948494e-06,13
Ch2.csv,24,1.0,1660756,1667056,23,0.996953428765466,7.871117877878687e-05,0.0002210036062477,0.000380386077122,0.0007649948679738,0.0016014755044114,-0.0002902196524456,-0.0007091156682061,1.1932525559005258e-05,2
Ch2.csv,25,6.0,1738515,1744815,24,0.9925442592242985,0.0009093942983886,0.0004318090111101,0.000817773967933,0.0017078812881817,0.003588882210088,-0.0053006716089605,-0.0004457388838586,-0.0001583687704116,24
Ch2.csv,26,3.0,1760172,1766472,25,0.9986374203901668,0.0003706134582532,0.0001051255160373,0.0001274545080765,0.0002467946295942,0.0005125914978718,0.001731432008234,-0.0001058233516981,-4.3064672597403764e-07,23
Ch2.csv,27,4.0,1802559,1808859,26,0.9973462933424052,0.0016635772056049,0.000244614898247,0.0001298421959223,0.0002033617184982,0.0004123106393222,0.0004943895478957,0.0012504393395801,-1.4731175457971537e-05,17
Ch2.csv,28,2.0,1847828,1854128,27,0.9974601975124976,0.0011325106774995,0.0002190083974324,0.0001803230984878,0.0003322452443358,0.0006757150697465,0.0005178676219871,0.0006312120569947,-6.1162198668474055e-06,15
Ch2.csv,29,6.0,1899665,1905965,28,0.9939932185740612,0.0011169595248663,0.0003785946896038,0.0006713671145488,0.0013336238325754,0.0025062362643441,-0.003522808022177,7.979811901309697e-05,-5.2481533963477656e-05,4
Ch2.csv,30,5.0,1910169,1916469,29,0.99794499544066,7.860017264222495e-05,0.0001553281686157,0.0002604927090787,0.0005153091974792,0.0010452743115242,0.0008707332266856,-0.0005523540247897,2.354548344390972e-05,5
Ch2.csv,31,2.0,1948625,1954925,30,0.9965286911089,0.0027675687956226,0.0003029603268516,8.311051739123777e-05,0.0001130905212357,0.0002045787299985,-0.0002430820258703,0.002431876010619,-7.77581160294194e-05,30
Ch2.csv,32,1.0,1968283,1974583,31,0.9957948549286696,0.0002912388392017,0.0002454624491155,0.0005458488976305,0.0010183701501093,0.0021042247352731,-0.0016026951864699,-0.0006441641277309,-4.0037059067105085e-05,31
