time (s), MPD 600 1.1 (V)
-1.1375e-05, 4.22985e-05
-1.13594e-05, 4.55004e-05
-1.13437e-05, 4.56689e-05
-1.13281e-05, 4.31411e-05
-1.13125e-05, 3.84226e-05
-1.12969e-05, 3.25244e-05
-1.12812e-05, 2.64577e-05
-1.12656e-05, 2.1402e-05
-1.125e-05, 1.82002e-05
-1.12344e-05, 1.75261e-05
-1.12187e-05, 1.90428e-05
-1.12031e-05, 2.24132e-05
-1.11875e-05, 2.66262e-05
-1.11719e-05, 3.05021e-05
-1.11562e-05, 3.31985e-05
-1.11406e-05, 3.40411e-05
-1.1125e-05, 3.26929e-05
-1.11094e-05, 2.89855e-05
-1.10937e-05, 2.34243e-05
-1.10781e-05, 1.70205e-05
-1.10625e-05, 1.02797e-05
-1.10469e-05, 4.04448e-06
-1.10312e-05, -6.7408e-07
-1.10156e-05, -4.04448e-06
-1.1e-05, -5.56116e-06
-1.09844e-05, -5.72968e-06
-1.09687e-05, -4.55004e-06
-1.09531e-05, -2.35928e-06
-1.09375e-05, 8.426e-07
-1.09219e-05, 4.55004e-06
-1.09062e-05, 8.76304e-06
-1.08906e-05, 1.24705e-05
-1.0875e-05, 1.56724e-05
-1.08594e-05, 1.78631e-05
-1.08437e-05, 1.88742e-05
-1.08281e-05, 1.90428e-05
-1.08125e-05, 1.83687e-05
-1.07969e-05, 1.70205e-05
-1.07812e-05, 1.51668e-05
-1.07656e-05, 1.28075e-05
-1.075e-05, 9.94268e-06
-1.07344e-05, 6.90932e-06
-1.07187e-05, 4.04448e-06
-1.07031e-05, 1.6852e-06
-1.06875e-05, -1.6852e-07
-1.06719e-05, -1.34816e-06
-1.06562e-05, -2.19076e-06
-1.06406e-05, -3.3704e-06
-1.0625e-05, -4.88708e-06
-1.06094e-05, -7.07784e-06
-1.05937e-05, -9.94268e-06
-1.05781e-05, -1.31446e-05
-1.05625e-05, -1.63464e-05
-1.05469e-05, -1.87057e-05
-1.05312e-05, -1.98854e-05
-1.05156e-05, -1.95483e-05
-1.05e-05, -1.75261e-05
-1.04844e-05, -1.39872e-05
-1.04687e-05, -9.43712e-06
-1.04531e-05, -4.213e-06
-1.04375e-05, 8.426e-07
-1.04219e-05, 5.72968e-06
-1.04062e-05, 9.77416e-06
-1.03906e-05, 1.31446e-05
-1.0375e-05, 1.51668e-05
-1.03594e-05, 1.63464e-05
-1.03437e-05, 1.61779e-05
-1.03281e-05, 1.48298e-05
-1.03125e-05, 1.2639e-05
-1.02969e-05, 9.2686e-06
-1.02812e-05, 5.0556e-06
-1.02656e-05, 1.6852e-07
-1.025e-05, -5.22412e-06
-1.02344e-05, -1.02797e-05
-1.02187e-05, -1.46612e-05
-1.02031e-05, -1.73576e-05
-1.01875e-05, -1.82002e-05
-1.01719e-05, -1.7189e-05
-1.01562e-05, -1.48298e-05
-1.01406e-05, -1.2302e-05
-1.0125e-05, -1.02797e-05
-1.01094e-05, -9.2686e-06
-1.00937e-05, -8.93156e-06
-1.00781e-05, -8.59452e-06
-1.00625e-05, -6.90932e-06
-1.00469e-05, -3.03336e-06
-1.00312e-05, 3.20188e-06
-1.00156e-05, 1.11223e-05
-1e-05, 1.90428e-05
-9.98437e-06, 2.51095e-05
-9.96875e-06, 2.76373e-05
-9.95312e-06, 2.64577e-05
-9.9375e-06, 2.20761e-05
-9.92187e-06, 1.63464e-05
-9.90625e-06, 1.07853e-05
-9.89062e-06, 7.07784e-06
-9.875e-06, 5.39264e-06
-9.85937e-06, 5.39264e-06
-9.84375e-06, 6.06672e-06
-9.82812e-06, 5.8982e-06
-9.8125e-06, 3.87596e-06
-9.79687e-06, -5.0556e-07
-9.78125e-06, -7.07784e-06
-9.76562e-06, -1.46612e-05
-9.75e-06, -2.20761e-05
-9.73437e-06, -2.78058e-05
-9.71875e-06, -3.06707e-05
-9.70312e-06, -3.01651e-05
-9.6875e-06, -2.64577e-05
-9.67187e-06, -2.05594e-05
-9.65625e-06, -1.38186e-05
-9.64062e-06, -8.08896e-06
-9.625e-06, -4.55004e-06
-9.60937e-06, -3.87596e-06
-9.59375e-06, -5.56116e-06
-9.57812e-06, -8.59452e-06
-9.5625e-06, -1.12908e-05
-9.54687e-06, -1.2302e-05
-9.53125e-06, -1.09538e-05
-9.51562e-06, -7.75192e-06
-9.5e-06, -3.70744e-06
-9.48437e-06, -8.426e-07
-9.46875e-06, -5.0556e-07
-9.45312e-06, -3.20188e-06
-9.4375e-06, -8.76304e-06
-9.42187e-06, -1.61779e-05
-9.40625e-06, -2.37613e-05
-9.39062e-06, -3.03336e-05
-9.375e-06, -3.57263e-05
-9.35937e-06, -3.97707e-05
-9.34375e-06, -4.36467e-05
-9.32812e-06, -4.78597e-05
-9.3125e-06, -5.30838e-05
-9.29687e-06, -5.91505e-05
-9.28125e-06, -6.50487e-05
-9.26562e-06, -6.95988e-05
-9.25e-06, -7.1621e-05
-9.23437e-06, -7.01043e-05
-9.21875e-06, -6.48802e-05
-9.20312e-06, -5.61172e-05
-9.1875e-06, -4.51634e-05
-9.17187e-06, -3.30299e-05
-9.15625e-06, -2.1402e-05
-9.14062e-06, -1.14594e-05
-9.125e-06, -3.70744e-06
-9.10937e-06, 1.34816e-06
-9.09375e-06, 4.38152e-06
-9.07812e-06, 5.72968e-06
-9.0625e-06, 5.56116e-06
-9.04687e-06, 4.04448e-06
-9.03125e-06, 1.01112e-06
-9.01562e-06, -3.87596e-06
-9e-06, -1.06168e-05
-8.98437e-06, -1.87057e-05
-8.96875e-06, -2.71317e-05
-8.95312e-06, -3.48837e-05
-8.9375e-06, -4.11189e-05
-8.92187e-06, -4.53319e-05
-8.90625e-06, -4.78597e-05
-8.89062e-06, -4.90393e-05
-8.875e-06, -4.95449e-05
-8.85937e-06, -4.98819e-05
-8.84375e-06, -4.97134e-05
-8.82812e-06, -4.87023e-05
-8.8125e-06, -4.6343e-05
-8.79687e-06, -4.213e-05
-8.78125e-06, -3.62318e-05
-8.76562e-06, -2.89855e-05
-8.75e-06, -2.0728e-05
-8.73437e-06, -1.2639e-05
-8.71875e-06, -4.71856e-06
-8.70312e-06, 2.19076e-06
-8.6875e-06, 8.426e-06
-8.67187e-06, 1.34816e-05
-8.65625e-06, 1.78631e-05
-8.64062e-06, 2.15706e-05
-8.625e-06, 2.46039e-05
-8.60937e-06, 2.71317e-05
-8.59375e-06, 2.88169e-05
-8.57812e-06, 2.98281e-05
-8.5625e-06, 2.99966e-05
-8.54687e-06, 2.93225e-05
-8.53125e-06, 2.79743e-05
-8.51562e-06, 2.61206e-05
-8.5e-06, 2.35928e-05
-8.48437e-06, 2.0728e-05
-8.46875e-06, 1.76946e-05
-8.45312e-06, 1.55038e-05
-8.4375e-06, 1.43242e-05
-8.42187e-06, 1.44927e-05
-8.40625e-06, 1.63464e-05
-8.39062e-06, 1.95483e-05
-8.375e-06, 2.32558e-05
-8.35937e-06, 2.74688e-05
-8.34375e-06, 3.18503e-05
-8.32812e-06, 3.62318e-05
-8.3125e-06, 4.06133e-05
-8.29687e-06, 4.51634e-05
-8.28125e-06, 4.93764e-05
-8.26562e-06, 5.30838e-05
-8.25e-06, 5.57801e-05
-8.23437e-06, 5.78024e-05
-8.21875e-06, 5.88135e-05
-8.20312e-06, 5.94876e-05
-8.1875e-06, 6.03302e-05
-8.17187e-06, 6.13413e-05
-8.15625e-06, 6.30265e-05
-8.14062e-06, 6.52173e-05
-8.125e-06, 6.75765e-05
-8.10937e-06, 6.95988e-05
-8.09375e-06, 7.06099e-05
-8.07812e-06, 6.99358e-05
-8.0625e-06, 6.75765e-05
-8.04687e-06, 6.3195e-05
-8.03125e-06, 5.69598e-05
-8.01562e-06, 4.93764e-05
-8e-06, 4.06133e-05
-7.98437e-06, 3.15133e-05
-7.96875e-06, 2.22446e-05
-7.95312e-06, 1.34816e-05
-7.9375e-06, 5.8982e-06
-7.92187e-06, 0
-7.90625e-06, -3.70744e-06
-7.89062e-06, -5.22412e-06
-7.875e-06, -4.88708e-06
-7.85937e-06, -3.20188e-06
-7.84375e-06, -6.7408e-07
-7.82812e-06, 1.85372e-06
-7.8125e-06, 4.38152e-06
-7.79687e-06, 6.23524e-06
-7.78125e-06, 7.5834e-06
-7.76562e-06, 8.426e-06
-7.75e-06, 9.10008e-06
-7.73437e-06, 9.60564e-06
-7.71875e-06, 1.04482e-05
-7.70312e-06, 1.21334e-05
-7.6875e-06, 1.46612e-05
-7.67187e-06, 1.80316e-05
-7.65625e-06, 2.15706e-05
-7.64062e-06, 2.47724e-05
-7.625e-06, 2.66262e-05
-7.60937e-06, 2.67947e-05
-7.59375e-06, 2.51095e-05
-7.57812e-06, 2.17391e-05
-7.5625e-06, 1.7189e-05
-7.54687e-06, 1.14594e-05
-7.53125e-06, 4.71856e-06
-7.51562e-06, -3.20188e-06
-7.5e-06, -1.19649e-05
-7.48437e-06, -2.12335e-05
-7.46875e-06, -2.99966e-05
-7.45312e-06, -3.74115e-05
-7.4375e-06, -4.24671e-05
-7.42187e-06, -4.48263e-05
-7.40625e-06, -4.41523e-05
-7.39062e-06, -4.14559e-05
-7.375e-06, -3.70744e-05
-7.35937e-06, -3.16818e-05
-7.34375e-06, -2.56151e-05
-7.32812e-06, -1.92113e-05
-7.3125e-06, -1.24705e-05
-7.29687e-06, -5.72968e-06
-7.28125e-06, 6.7408e-07
-7.26562e-06, 6.40376e-06
-7.25e-06, 1.09538e-05
-7.23437e-06, 1.43242e-05
-7.21875e-06, 1.66835e-05
-7.20312e-06, 1.80316e-05
-7.1875e-06, 1.90428e-05
-7.17187e-06, 1.97168e-05
-7.15625e-06, 1.98854e-05
-7.14062e-06, 1.90428e-05
-7.125e-06, 1.70205e-05
-7.10937e-06, 1.31446e-05
-7.09375e-06, 7.07784e-06
-7.07812e-06, -1.17964e-06
-7.0625e-06, -1.12908e-05
-7.04687e-06, -2.25817e-05
-7.03125e-06, -3.38725e-05
-7.01562e-06, -4.39837e-05
-7e-06, -5.20727e-05
-6.98437e-06, -5.71283e-05
-6.96875e-06, -5.8982e-05
-6.95312e-06, -5.78024e-05
-6.9375e-06, -5.40949e-05
-6.92187e-06, -4.83653e-05
-6.90625e-06, -4.12874e-05
-6.89062e-06, -3.28614e-05
-6.875e-06, -2.32558e-05
-6.85937e-06, -1.24705e-05
-6.84375e-06, -6.7408e-07
-6.82812e-06, 1.17964e-05
-6.8125e-06, 2.37613e-05
-6.79687e-06, 3.42096e-05
-6.78125e-06, 4.22985e-05
-6.76562e-06, 4.70171e-05
-6.75e-06, 4.81967e-05
-6.73437e-06, 4.61745e-05
-6.71875e-06, 4.16245e-05
-6.70312e-06, 3.55577e-05
-6.6875e-06, 2.84799e-05
-6.67187e-06, 2.1065e-05
-6.65625e-06, 1.34816e-05
-6.64062e-06, 6.06672e-06
-6.625e-06, -1.34816e-06
-6.60937e-06, -8.59452e-06
-6.59375e-06, -1.56724e-05
-6.57812e-06, -2.22446e-05
-6.5625e-06, -2.79743e-05
-6.54687e-06, -3.21873e-05
-6.53125e-06, -3.45466e-05
-6.51562e-06, -3.43781e-05
-6.5e-06, -3.16818e-05
-6.48437e-06, -2.67947e-05
-6.46875e-06, -2.00539e-05
-6.45312e-06, -1.17964e-05
-6.4375e-06, -2.86484e-06
-6.42187e-06, 6.40376e-06
-6.40625e-06, 1.56724e-05
-6.39062e-06, 2.44354e-05
-6.375e-06, 3.23559e-05
-6.35937e-06, 3.92652e-05
-6.34375e-06, 4.43208e-05
-6.32812e-06, 4.75227e-05
-6.3125e-06, 4.80282e-05
-6.29687e-06, 4.58375e-05
-6.28125e-06, 4.02763e-05
-6.26562e-06, 3.20188e-05
-6.25e-06, 2.1065e-05
-6.23437e-06, 8.59452e-06
-6.21875e-06, -4.71856e-06
-6.20312e-06, -1.78631e-05
-6.1875e-06, -2.99966e-05
-6.17187e-06, -4.02763e-05
-6.15625e-06, -4.85338e-05
-6.14062e-06, -5.40949e-05
-6.125e-06, -5.64542e-05
-6.10937e-06, -5.57801e-05
-6.09375e-06, -5.19042e-05
-6.07812e-06, -4.55004e-05
-6.0625e-06, -3.74115e-05
-6.04687e-06, -2.89855e-05
-6.03125e-06, -2.08965e-05
-6.01562e-06, -1.39872e-05
-6e-06, -8.76304e-06
-5.98437e-06, -4.71856e-06
-5.96875e-06, -2.02224e-06
-5.95312e-06, 0
-5.9375e-06, 1.34816e-06
-5.92187e-06, 2.19076e-06
-5.90625e-06, 2.5278e-06
-5.89062e-06, 2.02224e-06
-5.875e-06, 6.7408e-07
-5.85937e-06, -1.6852e-06
-5.84375e-06, -4.71856e-06
-5.82812e-06, -8.426e-06
-5.8125e-06, -1.24705e-05
-5.79687e-06, -1.66835e-05
-5.78125e-06, -2.1065e-05
-5.76562e-06, -2.5278e-05
-5.75e-06, -2.96595e-05
-5.73437e-06, -3.40411e-05
-5.71875e-06, -3.84226e-05
-5.70312e-06, -4.26356e-05
-5.6875e-06, -4.6343e-05
-5.67187e-06, -4.93764e-05
-5.65625e-06, -5.13986e-05
-5.64062e-06, -5.20727e-05
-5.625e-06, -5.08931e-05
-5.60937e-06, -4.73541e-05
