frequency (Hz),MPD 600 1.1 (dBm)
1.13438e+07,-165.507
1.1375e+07,-170.414
1.14063e+07,-175.552
1.14375e+07,-170.484
1.14688e+07,-167.582
1.15e+07,-170.895
1.15313e+07,-165.56
1.15625e+07,-160.407
1.15938e+07,-158.47
1.1625e+07,-158.959
1.16563e+07,-160.132
1.16875e+07,-159.893
1.17188e+07,-160.752
1.175e+07,-162.326
1.17813e+07,-160.597
1.18125e+07,-163.739
1.18438e+07,-177.462
1.1875e+07,-161.083
1.19063e+07,-157.061
1.19375e+07,-155.553
1.19688e+07,-155.649
1.2e+07,-155.649
1.20313e+07,-155.253
1.20625e+07,-156.969
1.20938e+07,-162.423
1.2125e+07,-180.635
1.21563e+07,-169.885
1.21875e+07,-170.941
1.22188e+07,-169.946
1.225e+07,-162.889
1.22813e+07,-161.504
1.23125e+07,-167.211
1.23438e+07,-172.883
1.2375e+07,-168.025
1.24063e+07,-181.415
1.24375e+07,-167.727
1.24688e+07,-161.204
1.25e+07,-156.856
1.25313e+07,-155.199
1.25625e+07,-157.505
1.25938e+07,-164.81
1.2625e+07,-167.388
1.26563e+07,-168.483
1.26875e+07,-171.998
1.27188e+07,-171.369
1.275e+07,-165.642
1.27813e+07,-164.152
1.28125e+07,-167.88
1.28438e+07,-178.571
1.2875e+07,-170.449
1.29063e+07,-164.544
1.29375e+07,-161.989
1.29688e+07,-162.113
1.3e+07,-167.256
1.30313e+07,-174.102
1.30625e+07,-162.148
1.30938e+07,-159.416
1.3125e+07,-160.172
1.31563e+07,-163.157
1.31875e+07,-166.314
1.32188e+07,-168.047
1.325e+07,-162.985
1.32813e+07,-159.85
1.33125e+07,-159.649
1.33438e+07,-159.454
1.3375e+07,-161.192
1.34063e+07,-168.738
1.34375e+07,-174.878
1.34688e+07,-171.667
1.35e+07,-165.852
1.35313e+07,-163.367
1.35625e+07,-165.218
1.35938e+07,-164.421
1.3625e+07,-164.045
1.36563e+07,-166.133
1.36875e+07,-165
1.37188e+07,-162.602
1.375e+07,-160.111
1.37813e+07,-158.59
1.38125e+07,-158.494
1.38438e+07,-160.293
1.3875e+07,-163.636
1.39063e+07,-167.228
1.39375e+07,-168.572
1.39688e+07,-167.759
1.4e+07,-166.463
1.40313e+07,-164.05
1.40625e+07,-164.41
1.40938e+07,-168.238
1.4125e+07,-171.571
1.41563e+07,-171.055
1.41875e+07,-169.706
1.42188e+07,-166.385
1.425e+07,-162.537
1.42813e+07,-160.451
1.43125e+07,-160.826
1.43438e+07,-166.466
1.4375e+07,-175.539
1.44063e+07,-164.328
1.44375e+07,-161.215
1.44688e+07,-159.012
1.45e+07,-157.617
1.45313e+07,-157.061
1.45625e+07,-157.959
1.45938e+07,-159.774
1.4625e+07,-160.655
1.46563e+07,-161.934
1.46875e+07,-164.29
1.47188e+07,-163.485
1.475e+07,-162.724
1.47813e+07,-165.892
1.48125e+07,-179.974
1.48438e+07,-171.6
1.4875e+07,-167.255
1.49063e+07,-166.408
1.49375e+07,-162.382
1.49688e+07,-158.104
1.5e+07,-155.386
1.50313e+07,-154.954
1.50625e+07,-158.881
1.50938e+07,-171.482
1.5125e+07,-164.349
1.51563e+07,-163.943
1.51875e+07,-166.432
1.52188e+07,-166.727
1.525e+07,-166.221
1.52813e+07,-168.91
1.53125e+07,-164.769
1.53438e+07,-160.199
1.5375e+07,-158.61
1.54063e+07,-160.269
1.54375e+07,-169.986
1.54688e+07,-160.778
1.55e+07,-156.486
1.55313e+07,-157.034
1.55625e+07,-159.266
1.55938e+07,-161.023
1.5625e+07,-162.521
1.56563e+07,-169.363
1.56875e+07,-169.685
1.57188e+07,-162.484
1.575e+07,-161.599
1.57813e+07,-161.132
1.58125e+07,-161.154
1.58438e+07,-162.822
1.5875e+07,-168.272
1.59063e+07,-173.457
1.59375e+07,-165.068
1.59688e+07,-167.031
1.6e+07,-174.719
1.60313e+07,-165.878
1.60625e+07,-162.026
1.60938e+07,-162.667
1.6125e+07,-168.109
1.61563e+07,-168.324
1.61875e+07,-163.14
1.62188e+07,-165.229
1.625e+07,-171.804
1.62813e+07,-169.645
1.63125e+07,-165.465
1.63438e+07,-164.837
1.6375e+07,-165.145
1.64063e+07,-164.83
1.64375e+07,-167.836
1.64688e+07,-174.751
1.65e+07,-173.04
1.65313e+07,-165.799
1.65625e+07,-161.504
1.65938e+07,-160.003
1.6625e+07,-160.081
1.66563e+07,-159.785
1.66875e+07,-159.438
1.67188e+07,-160.026
1.675e+07,-160.794
1.67813e+07,-160.182
1.68125e+07,-160.116
1.68438e+07,-163.159
1.6875e+07,-166.614
1.69063e+07,-167.889
1.69375e+07,-167.048
1.69688e+07,-165.989
1.7e+07,-162.74
1.70313e+07,-159.227
1.70625e+07,-156.693
1.70938e+07,-156.421
1.7125e+07,-159.575
1.71563e+07,-164.604
1.71875e+07,-165.615
1.72188e+07,-164.942
1.725e+07,-163.91
1.72813e+07,-167.564
1.73125e+07,-169.369
1.73438e+07,-167.249
1.7375e+07,-169.08
1.74063e+07,-175.805
1.74375e+07,-164.849
1.74688e+07,-160.472
1.75e+07,-159.555
1.75313e+07,-160.049
1.75625e+07,-160.472
1.75938e+07,-159.921
1.7625e+07,-159.699
1.76563e+07,-159.658
1.76875e+07,-161.146
1.77188e+07,-162.919
1.775e+07,-160.513
1.77813e+07,-161.082
1.78125e+07,-166.948
1.78438e+07,-165.748
1.7875e+07,-165.316
1.79063e+07,-173.258
1.79375e+07,-170.916
1.79688e+07,-163.418
1.8e+07,-162.751
1.80313e+07,-163.715
1.80625e+07,-162.283
1.80938e+07,-160.352
1.8125e+07,-162.024
1.81563e+07,-182.954
1.81875e+07,-162.876
1.82188e+07,-162.046
1.825e+07,-167.363
1.82813e+07,-163.516
1.83125e+07,-160.749
1.83438e+07,-159.818
1.8375e+07,-159.941
1.84063e+07,-162.157
1.84375e+07,-165.143
1.84688e+07,-165.992
1.85e+07,-164.065
1.85313e+07,-160.838
1.85625e+07,-158.789
1.85938e+07,-159.44
1.8625e+07,-160.906
1.86563e+07,-161.466
1.86875e+07,-163.615
1.87188e+07,-169.408
1.875e+07,-163.743
1.87813e+07,-160.043
1.88125e+07,-160.241
1.88438e+07,-164.213
1.8875e+07,-170.498
1.89063e+07,-163.289
1.89375e+07,-158.901
1.89688e+07,-158.451
1.9e+07,-162.061
1.90313e+07,-160.505
1.90625e+07,-160.056
1.90938e+07,-163.785
1.9125e+07,-169.027
1.91563e+07,-173.432
1.91875e+07,-172.084
1.92188e+07,-170.203
1.925e+07,-168.595
1.92813e+07,-163.56
1.93125e+07,-162.626
1.93438e+07,-167.974
1.9375e+07,-165.92
1.94063e+07,-159.62
1.94375e+07,-157.42
1.94688e+07,-157.125
1.95e+07,-158.267
1.95313e+07,-161.6
1.95625e+07,-165.265
1.95938e+07,-164.844
1.9625e+07,-166.692
1.96563e+07,-167.861
1.96875e+07,-164.834
1.97188e+07,-164.733
1.975e+07,-169.007
1.97813e+07,-173.619
1.98125e+07,-173.607
1.98438e+07,-165.742
1.9875e+07,-164.029
1.99063e+07,-161.31
1.99375e+07,-159.956
1.99688e+07,-164.088
2e+07,-169.861
2.00313e+07,-160.77
2.00625e+07,-156.974
2.00938e+07,-155.743
2.0125e+07,-157.36
2.01563e+07,-162.888
2.01875e+07,-160.266
2.02188e+07,-157.318
2.025e+07,-158.296
2.02813e+07,-158.925
2.03125e+07,-158.62
2.03438e+07,-159.82
2.0375e+07,-164.361
2.04063e+07,-163.022
2.04375e+07,-159.991
2.04688e+07,-163.106
2.05e+07,-167.965
2.05313e+07,-163.496
2.05625e+07,-160.98
2.05938e+07,-160.367
2.0625e+07,-163.309
2.06563e+07,-167.121
2.06875e+07,-168.122
2.07188e+07,-171.099
2.075e+07,-168.687
2.07813e+07,-164.893
2.08125e+07,-166.585
2.08438e+07,-175.432
2.0875e+07,-166.961
2.09063e+07,-161.836
2.09375e+07,-163.343
2.09688e+07,-179.819
2.1e+07,-166.658
2.10313e+07,-165.726
2.10625e+07,-171.727
2.10938e+07,-166.913
2.1125e+07,-161.646
2.11563e+07,-160.665
2.11875e+07,-164.823
2.12188e+07,-170.403
2.125e+07,-165.424
2.12813e+07,-165.383
2.13125e+07,-163.828
2.13438e+07,-160.736
2.1375e+07,-162.24
2.14063e+07,-165.201
2.14375e+07,-166.984
2.14688e+07,-166.014
2.15e+07,-162.088
2.15313e+07,-160.595
2.15625e+07,-162.396
2.15938e+07,-165.468
2.1625e+07,-165.037
2.16563e+07,-162.176
2.16875e+07,-162.69
2.17188e+07,-168.985
2.175e+07,-161.427
2.17813e+07,-158.551
2.18125e+07,-159.86
2.18438e+07,-163.467
2.1875e+07,-168.065
2.19063e+07,-174.091
2.19375e+07,-181.37
2.19688e+07,-168.375
2.2e+07,-167.143
2.20313e+07,-171.636
2.20625e+07,-176.864
2.20938e+07,-170.413
2.2125e+07,-164.341
2.21563e+07,-161.025
2.21875e+07,-161.04
2.22188e+07,-165.297
2.225e+07,-173.851
2.22813e+07,-171.339
2.23125e+07,-165.161
2.23438e+07,-162.111
2.2375e+07,-163.15
2.24063e+07,-166.214
2.24375e+07,-164.954
2.24688e+07,-163.854
2.25e+07,-164.837
2.25313e+07,-169.726
2.25625e+07,-191
2.25938e+07,-172.472
2.2625e+07,-169.845
2.26563e+07,-163.358
2.26875e+07,-160.195
2.27188e+07,-160.753
2.275e+07,-166.313
2.27813e+07,-174.955
2.28125e+07,-163.912
2.28438e+07,-163.05
2.2875e+07,-166.446
2.29063e+07,-168.568
2.29375e+07,-175.204
2.29688e+07,-171.508
2.3e+07,-166.033
2.30313e+07,-164.157
2.30625e+07,-167.883
2.30938e+07,-168.047
2.3125e+07,-164.875
2.31563e+07,-163.657
2.31875e+07,-162.517
2.32188e+07,-163.099
2.325e+07,-165.916
2.32813e+07,-184.414
2.33125e+07,-165.993
2.33438e+07,-161.849
2.3375e+07,-162.168
2.34063e+07,-163.343
2.34375e+07,-163.803
2.34688e+07,-166.789
2.35e+07,-172.374
2.35313e+07,-171.755
2.35625e+07,-169.864
2.35938e+07,-167.058
